source_1,source_2,priority,RU,DE,NL,EN,
Rock 'N Learn,"Numbers, colors and more",,цвет,die Farbe,de kleur,the colour,
Rock 'N Learn,"Numbers, colors and more",,красный,rot,rood,red,
Rock 'N Learn,"Numbers, colors and more",,жёлтый,gelb,geel,yellow,
Rock 'N Learn,"Numbers, colors and more",,синий,blau,blauw,blue,
Ясно,1,,фирма,die Firma,de firma,the firm,
Ясно,1,,фабрика,die Fabrik,de fabriek,the factory,
Ясно,1,,фонтан,die Fontäne,de fontein,the fountain,
Ясно,1,,фильм,der Film,de film,the film,
Ясно,1,,характер,der Charakter,het karakter,the character,
Ясно,1,,архитектура,die Architektur,de architectuur,the architecture,
Ясно,1,,цирк,der Zirkus,het circus,the circus,
Ясно,1,,центр,das Zentrum,het centrum,the center,
Ясно,1,,сцена,die Bühne,het toneel,the stage,
Ясно,1,,специалист,der Spezialist,de specialist,the specialist,
Ясно,1,,чемпион,der Champion,de kampioen,the champion,
Ясно,1,,почта,die Post,de post,the post,
Ясно,1,,театр,das Theater,het theater,the theater,
Ясно,1,,музей,das Museum,het museum,the museum,
Ясно,1,,кинотеатр,das Kino,de bioscoop,the cinema,
Ясно,1,,магазин,"das Geschäft, der Laden","de winkel, de zaak, het bedrijf","the shop, the company",
Ясно,1,,университет,die Universität,de universiteit,the university,
Ясно,1,,библиотека,die Bibliothek,de bibliotheek,the library,
Ясно,1,,стадион,das Stadion,het stadion,the stadium,
Ясно,1,,ресторан,das Restaurant,het restaurant,the restaurant,
Ясно,1,,киоск,der Kiosk,de kiosk,the kiosk,
Ясно,1,,метро,die U-Bahn,de metro,the underground,
Ясно,1,,парк,der Park,het park,the parc,
Ясно,1,,такси,das Taxi,de taxi,the taxi,
Ясно,1,,кто это,Wer ist das?,Wie is dat?,Who is that?,
Ясно,1,,спортсмен,der Sportler,de sporter,the sportsman,
Ясно,1,,политик,"der Politiker, die Politikerin",de politicus,the politician,
Ясно,1,,теннисистка,die Tennisspielerin,de tennisster,the tennis player,
Ясно,1,,прима-балерина,die Prima-Ballerina,de prima ballerina,the ballet dancer,
Ясно,1,,кремл,der Kreml,het Kremlin,the Kremlin,
Ясно,1,,субъект,das Subjekt,het onderwerp,the subject,
Ясно,1,,объект,das Objekt,het voorwerp,the object,
Ясно,1,,объектив,das Objektiv,het objectief,the objective,
Ясно,1,,деловые контакты,die Geschäftskontakte,de zakenrelaties,the business relations,
Ясно,1,,Россия,Russland,Rusland,Russia,
Ясно,1,,для меня,für mich,voor mij,for me,
Ясно,1,,царь,der Zar,de tsaar,the tsar,
Ясно,1,,и,und,en,and,
Ясно,1,,вулкан,der Vulkan,de vulkaan,the volcano,
Ясно,1,,Сибирь,das Sibirien,het Siberië,Siberia,
Ясно,1,,тундра,die Tundra,de toendra,the tundra,
Ясно,1,,зима,der Winter,de winter,the winter,
Ясно,1,,Чёрное море,das Schwarzes Meer,de zwarte zee,the black sea,
Ясно,1,,пляж,der Strand,het strand,the beach,
Ясно,1,,фрукты,"das Obst, die Früchte","het fruit, de vruchten",the fruit,
Ясно,2,,мы,wir,wij,we,
Ясно,2,,из,aus,uit,out,
Ясно,2,,Познакомьтесь,Machen Sie sich bekannt,Maak u bekend,Introduce yourself,
Ясно,2,,пожалуйста,bitte,alstublieft,please,
Ясно,2,,как,wie,hoe,how,
Ясно,2,,Как вас зовут?,Wie heissen Sie?,Hoe heet u?,What’s your name?,
Ясно,2,,меня зовут,ich heisse,ik heet,I am called,
Ясно,2,,очень,sehr,zeer,very,
Ясно,2,,приятно,angenehm,aangenaam,nice,
Ясно,2,,Как тебя зовут?,Wie heisst du?,Hoe heet je?,What's your name?,
Ясно,2,,давайте познакомимся,Machen wir uns bekannt,Wij maken ons bekend,We introduce ourselves,
Ясно,2,,Как ваши дела?,Wie geht es Ihnen?,Hoe gaat het met u?,How do you do?,
Ясно,2,,Как твои дела?,Wie geht es dir?,Hoe gaat het met jou?,How do you do?,
Ясно,2,,Как у тебя дела?,Wie geht es dir?,Hoe gaat het met jou?,How do you do?,
Ясно,2,,спасибо,danke,bedankt,thanks,
Ясно,2,,У меня всё хорошо,Mir geht es gut,Het gaat goed met mij,I’m fine,
Ясно,2,,всё,alles,alles,all,
Ясно,2,,хорошо,gut,goed,good,
Ясно,2,,Всё в порядке,Alles in Ordnung,Alles in orde,All is fine,
Ясно,2,,ничего,es geht,het gaat,it is going,
Ясно,2,,нормально,normal,normaal,normal,
Ясно,2,,не,nicht,niets,nothing,
Ясно,2,,не очень,nichts besonderes,niets bijzonders,nothing special,
Ясно,2,,тоже,auch,ook,also,
Ясно,2,,плохо,schlecht,slecht,bad,
Ясно,2,,откуда,woher?,waarvandaan,from where,
Ясно,2,,скажи,Sag!,Zeg!,Say!,
Ясно,2,,скажите,Sagen Sie!,Zegt!,Say!,
Ясно,2,,где,wo?,waar?,where?,
Ясно,2,,вот,"da, hier ist, hier sind","daar, hier is, hier zijn","there, here is, here are",
Ясно,2,,интересно,interessant,interessant,interesting,
Ясно,2,,наверное,wahrscheinlich,waarschijnlijk,probably,
Ясно,2,,русский,Russe,Rus,Russian (m),
Ясно,2,,русская,Russin,Russin,Russian (f),
Ясно,2,,немец,Deutscher,Duitser,German (m),
Ясно,2,,немка,Deutsche,Duitse,German (f),
Ясно,2,,Кто вы по национальности?,Welche Nationalität haben Sie?,Welke nationaliteit heeft u?,,
Ясно,2,,извините,Entschuldigen Sie!,Excuseer,Excuse me,
Ясно,2,,там,dort,daar,there,
Ясно,2,,германия,Deutschland,Duitsland,Germany,
Ясно,2,,да,ja,ja,yes,
Ясно,2,,серодня,heute,vandaag,today,
Ясно,2,,экскырсия,Exkursion,excursie,excursion,
Ясно,2,,монастырь,Kloster,klooster,monastery,
Ясно,2,,церковь,Kirche,kerk,church,
Ясно,2,,собор,"Dom, Kathedrale",katedraal,cathedral,
Ясно,2,,масленица,"Fastnachtswoche, russische Karneval",Russisch carnaval,,
Ясно,5,,магазин,das Geschäft,warenhuis,shop,
Ясно,5,,хлеб,das Brot,brood,bread,
Ясно,5,,булочка,Brötchen,broodjes,,
Ясно,5,,масло,"die Butter, das Öl","boter, olie",,
Ясно,5,,сыр,der Käse,kaas,,
Ясно,5,,колбаса,die Wurst,worst,,
Ясно,5,,ветчина,der Schinken,ham,,
Ясно,5,,яйцо,das Ei,ei,,
Ясно,5,,йогурт,der Joghurt,yoghurt,,
Ясно,5,,мёд,der Honig,honing,,
Ясно,5,,кофе,der Kaffee,koffie,,
Ясно,5,,варенье,die Konfitüre,jam,,
Ясно,5,,молоко,die Milch,melk,,
Ясно,5,,сок,der Saft,sap,,
Ясно,5,,вино,der Wein,wijn,,
Ясно,5,,яблоко,der Apfel,appel,,
Ясно,5,,банан,die Banane,banaan,,
Ясно,5,,помидор,die Tomate,tomaat,,
Ясно,5,,продукты,die Lebensmittel,levensmiddelen,,
Ясно,5,,минеральная вода,das Mineralwasser,mineraalwater,,
Ясно,5,,икра,der Kaviar,kaviaar,,
Ясно,5,,пиво,das Bier,bier,,
Ясно,5,,мука,das Mehl,meel,,
Ясно,5,,картофель,die Kartoffel,aardappel,,
Ясно,5,,капуста,der Kohl,kool,,
Ясно,5,,морковь,die Möhre,wortel,,
Ясно,5,,лук,die Zwiebel,ui,,
Ясно,5,,вода,das Wasser,water,,
Ясно,5,,молочные продукты,die Milchprodukte,melkproducten,,
Ясно,5,,мясо,das Fleisch,vlees,,
Ясно,5,,рыба,der Fisch,vis,,
Ясно,5,,овощи,das Gemüse,groenten,,
Ясно,5,,напиток,das Getränk,drank,,
Ясно,5,,конфета,"die Praline, der Bonbon",bonbon,,
Ясно,5,,груша,die Birne,peer,,
Ясно,5,,сосиска,das Wiener Würstchen,worstje,,
Ясно,5,,пирог,der Kuchen,"taart, vlaai",,
Ясно,5,,салат,der Salat,salade,,
Ясно,5,,ананас,die Ananas,ananas,,
Ясно,5,,огурец,die Gurke,komkommer,,
Ясно,5,,холодильник,der Kühlschrank,koelkast,,
Ясно,5,,сметана,die saure Sahne,zure room,,
Ясно,5,,творог,der Quark,kwark,,
Ясно,5,,соль,das Salz,zout,,
Ясно,5,,сахар,der Zucker,suiker,,
Ясно,5,,плюс,plus,plus,,
Ясно,5,,минус,minus,minus,,
Ясно,5,,сколько стоит …?,Wie viel kostet …?,Hoeveel kost …?,,
Ясно,5,,рубль,der Rubel,Roebel,,
Ясно,5,,евро,der Euro,Euro,,
Ясно,5,,сливочное масло,die Butter,boter,,
Ясно,5,,коробка,die Schachtel,doos,,
Ясно,5,,вес,das Gewicht,gewicht,,
Ясно,5,,упаковка,die Packung,verpakking,,
Ясно,5,,цена,der Preis,prijs,,
Ясно,5,,грамм,das Gramm,gram,,
Ясно,5,,пачка,das Päckchen,pakje,,
Ясно,5,,килограмм,das Kilogramm,kilogram,,
Ясно,5,,пакет,"die Tüte, der Beutel",zakje,,
Ясно,5,,литр,das Liter,liter,,
Ясно,5,,бутылка,die Flasche,fles,,
Ясно,5,,"дай, дайте",Gib / Geben Sie …,"geef, geeft",,
Ясно,5,,штука,das Stück,stuk,,
Ясно,5,,вам помочь?,Kann ich Ihnen helfen?,Kan ik u helpen?,,
Ясно,5,,С вас один рубль,Das macht ein Rubel für Sie.,Dat is 1 Roebel voor u.,,
Ясно,5,,деньги,das Geld,geld,,
Ясно,5,,что ещё,Was noch?,Anders nog iets?,,
Ясно,5,,Это всё,Das wäre alles.,Dat is alles.,,
Ясно,5,,с,mit,met,,
Ясно,5,,пикник,das Picknick,picknick,,
Ясно,5,,ужин,das Abendessen,avondeten,,
Ясно,5,,покупатель,der Käufer,klant,,
Ясно,5,,офисная техника,die Bürotechnik,bureauorganisatie,,
Ясно,5,,ксерокс,der Kopierer,kopieerapparaat,,
Ясно,5,,принтер,der Drucker,printer,,
Ясно,5,,факс,das Faxgerät,faxmachine,,
Ясно,5,,сканер,der Scanner,scanner,,
Ясно,5,,установка,die Installation,installatie,,
Ясно,5,,гарантия,die Garantie,garantie,,
Ясно,5,,сервис,das Service,service,,
Ясно,5,,кондитер,der Süßwarenproduzent,zoetwarenproducent,,
Ясно,5,,предлагать,anbieten,aanbieden,,
Ясно,5,,шоколад,die Schokolade,chocolade,,
Ясно,5,,бисквит,der Biskuit,biscuit,,
Ясно,5,,торт,die Torte,taart,,
Ясно,5,,крекер,Cracker,cracker,,
Ясно,5,,карамель,der Karamell,karamel,,
Ясно,5,,автосалон,das Autohaus,autobedrijf,,
Ясно,5,,официальный,"offiziell, zugelassen",officieel,,
Ясно,5,,дилер,der Händler,handelaar,,
Ясно,5,,автомобиль,das Automobil,automobiel,,
Ясно,5,,диалог,der Dialog,dialoog,,
Ясно,5,,реклама,die Werbung,reclame,,
Ясно,5,,билет на самолёт,das Flugticket,vliegticket,,
Ясно,5,,аппаратура для медицины,die medizinische Geräte,medische apparatuur,,
Ясно,5,,компютер,der Computer,computer,,
Ясно,5,,кредит,das Kredit,krediet,,
Ясно,5,,работа,die Arbeit,werk,,
Ясно,5,,ремонт машин,der Autoreparatur,autoreparatie,,
Ясно,5,,машина,das Auto,auto,,
Ясно,5,,продавать,verkaufen,verkopen,,
Ясно,5,,столица,die Hauptstadt,hoofdstad,,
Ясно,5,,южный,"Süd-, südlich","zuid, zuidelijk",,
Ясно,5,,Азовское море,das Asowsches Meer,zee van Azov,,
Ясно,5,,языковая школа,die Sprachschule,taleninstituut,,
Ясно,5,,хобби,das Hobby,hobby,,
Ясно,5,,русская кухня,die russische Küche,Russische keuken,,
Ясно,5,,покупать,kaufen,kopen,,
Ясно,5,,рынок,der Markt,markt,,
Ясно,5,,лучше,besser,beter,,
Ясно,5,,праздник,das Fest,feest,,
Ясно,5,,многонациональный,multinational,multinational,,
Ясно,5,,ярмарка,"der Jahrmarkt, die Messe","jaarmarkt, beurs",,
Ясно,5,,можно,mann kann,men kan,,
Ясно,5,,попробовать,kosten,kosten,,
Ясно,5,,армянский,armenisch,Armenisch,,
Ясно,5,,белорусский,weißrussisch,Wit-Russisch,,
Ясно,5,,узбекский,usbekisch,Oezbekisch,,
Ясно,5,,греческий,griechisch,Grieks,,
Ясно,5,,польский,polnisch,Pools,,
Ясно,5,,другой,anderer,een ander,another,
Ясно,5,,национальное блюдо,nationale Spezialität,nationale specialiteit,,
Ясно,5,,блюдо,"das Gericht, die Speise",gerecht,,
Ясно,5,,интервью,das Interview,interview,,
Ясно,6,,свободное бремя,die Freizeit,vrije tijd,,
Ясно,6,,время,die Zeit,tijd,,
Ясно,6,,футбал,der Fußball,voetbal,,
Ясно,6,,музыка,die Musik,muziek,,
Ясно,6,,гандбол,der Handball,handbal,,
Ясно,6,,волейбол,der Volleyball,volleyball,,
Ясно,6,,бадминтон,der Federball,badminton,,
Ясно,6,,балет,das Ballett,ballet,,
Ясно,6,,хоккей,das Eishockey,ijshockey,,
Ясно,6,,велоспорт,der Radsport,wielrennen,,
Ясно,6,,литература,Literatur,literatuur,,
Ясно,6,,интернет,die Internet,internet,,
Ясно,6,,гимнастика,die Gymnastik,gymnastiek,,
Ясно,6,,шопинг,shopping,winkelen,,
Ясно,6,,что вы любите?,Was mögen Sie?,Waar houd je van?,,
Ясно,6,,любить,"lieben, mögen",houden van,,
Ясно,6,,классика,die Klassik,klassiek,,
Ясно,6,,рок,der Rock,rock,,
Ясно,6,,рэп,der Rap,rap,,
Ясно,6,,теннис,das Tennis,tennis,,
Ясно,6,,слушать,hören,luisteren,,
Ясно,6,,читать,lesen,lezen,,
Ясно,6,,спорт,der Sport,sport,,
Ясно,6,,сидеть в Интернете,im Internet surfen,op het internet surfen,,
Ясно,6,,смотреть телевизор,fernsehen,televisie kijken,,
Ясно,6,,смотреть,schauen,kijken,,
Ясно,6,,телевизор,der Fernseher,televisie,,
Ясно,6,,гулять,spazieren gehen,wandelen,,
Ясно,6,,лес,der Wald,bos,,
