EN,NL,type,misc
(common) shelduck,bergeend {de} [Tadorna tadorna],noun,[orn.] [T] 
(common) starling,spreeuw {de} [Sturnus vulgaris],noun,[orn.] [T] 
(common) toothwort,bleke schubwortel {de} [Lathraea squamaria],noun,[bot.] [T] 
(common) toucan,reuzentoekan {de} [Ramphastos toco],noun,[orn.] [T] 
(common) wall gecko,muurgekko {de} [Tarentola mauritanica],noun,[zool.] [T] 
(conductor's) baton,dirigeerstok {de},noun,[mus.] 
(cycle) rickshaw driver,riksjarijder {de},noun,[bike] [jobs] 
(dental) enamel,tandglazuur {het},noun,[dent.] 
(dietary) fiber [Am.],ballaststof {de},noun,[FoodInd.] 
(dietary) fibre [Br.],ballaststof {de},noun,[FoodInd.] 
(drug) addict,verslaafde {de},noun,[drugs] 
(dust) jacket,omslag {de} {het} [stofomslag],noun,[publ.] 
(dust) jacket,stofomslag {de} {het},noun,[publ.] 
(East) Javan langur,Javaanse langoer {de} [Trachypithecus auratus],noun,[zool.] [T] 
(East African) green mamba,smalkopmamba {de} [Dendroaspis angusticeps],noun,[zool.] [T] 
(electric) torch,zaklantaarn {de},noun,
(Eurasian) blackcap,zwartkop {de} [Sylvia atricapilla],noun,[orn.] [T] 
(Eurasian) black vulture,monniksgier {de} [Aegypius monachus],noun,[orn.] [T] 
(Eurasian) bullfinch,goudvink {de} [Pyrrhula pyrrhula],noun,[orn.] [T] 
(Eurasian) dotterel,morinelplevier {de} [Charadrius morinellus],noun,[T] [orn.] 
(Eurasian) eagle owl,oehoe {de} [Bubo bubo],noun,[orn.] [T] 
(Eurasian) golden jackal,gewone jakhals {de} [Canis aureus],noun,[zool.] [T] 
(Eurasian) golden jackal,goudjakhals {de} [Canis aureus],noun,[zool.] [T] 
(Eurasian) hobby,boomvalk {de} [Falco subbuteo],noun,[orn.] [T] 
(Eurasian) hoopoe,hop {de} [Upupa epops],noun,[orn.] [T] 
(Eurasian) nuthatch,boomklever {de} [Sitta europaea],noun,[orn.] [T] 
(Eurasian) oystercatcher,scholekster {de} [Haematopus ostralegus],noun,[orn.] [T] 
(Eurasian) penduline tit,buidelmees {de} [Remiz pendulinus],noun,[orn.] [T] 
(Eurasian) red squirrel,(gewone) eekhoorn {de} [Sciurus vulgaris],noun,[zool.] [T] 
(Eurasian) red squirrel,rode eekhoorn {de} [Sciurus vulgaris],noun,[zool.] [T] 
(Eurasian) river warbler,krekelzanger {de} [Locustella fluviatilis],noun,[T] [orn.] 
(Eurasian) siskin,"sijs {de} [Spinus spinus, syn.: Carduelis spinus]",noun,[orn.] [T] 
(Eurasian) sparrowhawk,sperwer {de} [Accipiter nisus],noun,[orn.] [T] 
(Eurasian) tawny owl,bosuil {de} [Strix aluco],noun,[orn.] [T] 
(Eurasian) teal,wintertaling {de} [Anas crecca],noun,[orn.] [T] 
(Eurasian) three-toed woodpecker,drieteenspecht {de} [Picoides tridactylus],noun,[orn.] [T] 
(Eurasian) treecreeper,kortsnavelboomkruiper {de} [Certhia familiaris],noun,[T] [orn.] 
(Eurasian) treecreeper,taigaboomkruiper {de} [Certhia familiaris],noun,[T] [orn.] 
(European) badger,(Europese) das {de} [Meles meles],noun,[zool.] [T] 
(European) chub,"kopvoorn {de} [Squalius cephalus, Leuciscus cephalus]",noun,[fish] [T] 
(European) crested tit,"kuifmees {de} [Lophophanes cristatus, verouderd: Parus cristatus]",noun,[orn.] [T] 
(European) fire-bellied toad,roodbuikvuurpad {de} [Bombina bombina],noun,[zool.] [T] 
(European) flounder [Platichthys flesus],bot {de},noun,[fish] [T] 
(European) goldfinch,distelvink {de} [Carduelis carduelis],noun,[orn.] [T] 
(European) goldfinch,putter {de} [Carduelis carduelis],noun,[orn.] [T] 
(European) greenfinch,groenling {de} [Carduelis chloris],noun,[orn.] [T] 
(European) greenfinch,"groenvink {de} [Chloris chloris, syn.: Carduelis chloris]",noun,[orn.] [T] 
(European) green toad,"groene pad {de} [Pseudepidalea viridis, Bufo viridis]",noun,[zool.] [T] 
(European) honey buzzard,wespendief {de} [Pernis apivorus],noun,[orn.] [T] 
(European) magpie,ekster {de} [Pica pica],noun,[orn.] [T] 
(European) pied flycatcher,bonte vliegenvanger {de} [Ficedula hypoleuca],noun,[orn.] [T] 
(European) pine marten,boommarter {de} [Martes martes],noun,[zool.] [T] 
(European) pine marten,edelmarter {de} [Martes martes],noun,[zool.] [T] 
(European) robin,roodborstje {het} [Erithacus rubecula],noun,[orn.] [T] 
(European) robin,roodborst {de} [Erithacus rubecula],noun,[orn.] [T] 
(European) rock pipit,oeverpieper {de} [Anthus petrosus],noun,[T] [orn.] 
(European) silver fir,gewone zilverspar {de} [Abies alba],noun,[bot.] [T] 
(European) starling,spreeuw {de} [Sturnus vulgaris],noun,[orn.] [T] 
(European) tree frog,(Europese) boomkikker {de} [Hyla arborea],noun,[zool.] [T] 
(European) wood mouse,bosmuis {de} [Apodemus sylvaticus],noun,[zool.] [T] 
(every) once in a while,(zo) nu en dan,adv,
(fire) accelerant,brandversneller {de},noun,
(fireproof) safe,brandkast {de},noun,
(firework) rocket,vuurpijl {de},noun,
(football) pitch [Br.],voetbalveld {het},noun,[sports] 
(French) bean salad,bonensalade {de},noun,[gastr.] 
(from) day to day,met de dag,adv,
(garden) valerian,echte valeriaan {de} [Valeriana officinalis],noun,[bot.] [T] 
(Gee's) golden langur,gouden langoer {de} [Trachypithecus geei],noun,[zool.] [T] 
(Geoffroy's) tufted-ear marmoset,witgezichtoeistiti {de} [Callithrix geoffroyi],noun,[zool.] [T] 
(gift) wrapping paper,cadeaupapier {het},noun,
(great) white-bellied heron,"keizerreiger {de} [Ardea insignis, syn.: Ardea imperialis]",noun,[orn.] [T] 
(great) white pelican,roze pelikaan {de} [Pelecanus onocrotalus],noun,[orn.] [T] 
(great) yellow gentian,(grote) gele gentiaan {de} [Gentiana lutea],noun,[bot.] [T] 
(greater) black-winged lapwing,zwartvleugelkievit {de} [Vanellus melanopterus],noun,[orn.] [T] 
(greater) roadrunner,Californische grondkoekoek {de} [Geococcyx californianus],noun,[orn.] [T] 
(greater) roadrunner,grote renkoekoek {de} [Geococcyx californianus],noun,[orn.] [T] 
(greater) roadrunner,haankoekoek {de} [Geococcyx californianus],noun,[orn.] [T] 
(greater) short-toed lark,kortteenleeuwerik {de} [Calandrella brachydactyla],noun,[T] [orn.] 
(greater) weasel lemur,grote wezelmaki {de} [Lepilemur mustelinus],noun,[zool.] [T] 
(greater) white-fronted goose,kolgans {de} [Anser albifrons],noun,[T] [orn.] 
(hand) puppet,handpop {de},noun,
(Heisenberg) uncertainty principle,onzekerheidsrelatie {de} (van Heisenberg),noun,[phys.] 
(herpes) zoster,gordelroos {de},noun,[med.] 
(hot) glue gun,lijmpistool {het},noun,[tools] 
(hunting) lodge,jachthut {de},noun,[hunting] 
(ice) hockey,ijshockey {het},noun,[sports] 
(Indian) black ibis,wrattenibis {de} [Pseudibis papillosa],noun,[T] [orn.] 
(Indian) red-winged lark,roodvleugelleeuwerik {de} [Mirafra erythroptera],noun,[orn.] [T] 
(Indian) spectacled cobra,brilslang {de} [Naja naja],noun,[zool.] [T] 
(intervertebral) disc,tussenwervelschijf {de} [Discus intervertebralis],noun,[anat.] 
(intervertebral) disk [Am.],tussenwervelschijf {de} [Discus intervertebralis],noun,[anat.] 
(Japanese) crested ibis,Japanse ibis {de} [Nipponia nippon],noun,[T] [orn.] 
(Japanese) crested ibis,Japanse kuifibis {de} [Nipponia nippon],noun,[T] [orn.] 
(Japanese) gray thrush [Am.],zwartkaplijster {de} [Turdus cardis],noun,[orn.] [T] 
(Japanese) grey thrush [Br.],zwartkaplijster {de} [Turdus cardis],noun,[orn.] [T] 
(Japanese) pagoda tree,"honingboom {de} [Styphnolobium japonicum, syn.: Sophora japonica]",noun,[bot.] [T] 
(Japanese) yellow bunting,zwavelgors {de} [Emberiza sulphurata],noun,[orn.] [T] 
(Javan) blue-banded kingfisher,"blauwborstijsvogel {de} [Alcedo euryzona, syn.: Alcedo euryzone]",noun,[orn.] [T] 
(little) bit,beetje {het},noun,
(little) lamb,lammetje {het},noun,[agr.] [zool.] 
(little) yellow rattle,kleine ratelaar {de} [Rhinanthus minor],noun,[bot.] [T] 
(long-nosed) proboscis bat,langneusvleermuis {de} [Rhynchonycteris naso],noun,[T] [zool.] 
(low-paid) job,baantje {het},noun,
(Mafia) don [Am.] [coll.],maffiabaas {de},noun,
(magic) wand,toverstaf {de},noun,
(market) booth,kraam {de} {het},noun,
(market) stall,kraam {de} {het},noun,
(metal) alloy,metaallegering {de},noun,
(Mount) Kilimanjaro,Kilimanjaro {de} [berg],noun,[geogr.] 
(mouse) cursor,muisaanwijzer {de},noun,[comp.] 
(mouse) pointer,muisaanwijzer {de},noun,[comp.] 
(nature) conservation organization,natuurbeschermingsorganisatie {de},noun,[ecol.] [pol.] 
(North) American beaver,Canadese bever {de} [Castor canadensis],noun,[zool.] [T] 
(North) American beaver,Noord-Amerikaanse bever {de} [Castor canadensis],noun,[zool.] [T] 
(North) American black duck,Amerikaanse zwarte eend {de} [Anas rubripes],noun,[T] [orn.] 
(northern) wheatear,tapuit {de} [Oenanthe oenanthe],noun,[orn.] [T] 
(office) clerk,kantoorklerk {de},noun,
(on) Fridays,'s vrijdags,adv,
(on) Saturdays,zaterdags,adv,
(on) the following day,'s anderendaags,adv,
(on) Tuesdays,'s dinsdags,adv,
(on) Wednesdays,'s woensdags,adv,
(once) again,wederom,adv,
(pair of) headphones,hoofdtelefoon {de},noun,
(pair of) nail clippers,nagelknipper {de},noun,
(pair of) tweezers,pincet {het} {de},noun,
(Peale's) black-chinned dolphin,dolfijn {de} van Peale [Lagenorhynchus australis],noun,[zool.] [T] 
(picture) postcard,ansichtkaart {de},noun,
(poison) gas attack,gifgasaanval {de},noun,[mil.] 
(public) soup kitchen,volkskeuken {de},noun,
(red-billed) chough,alpenkraai {de} [Pyrrhocorax pyrrhocorax],noun,[orn.] [T] 
(regular) customers {pl} [collectively],klantenbasis {de},noun,[comm.] 
(River) Thames,Theems {de},noun,[geogr.] 
(rock) candy,kandij {de},noun,[gastr.] 
(rock) grayling [butterfly],heivlinder {de} [Hipparchia semele],noun,[entom.] [T] 
(ruddy) turnstone,steenloper {de} [Arenaria interpres],noun,[orn.] [T] 
(school) playground,schoolplein {het},noun,
(school) student [pupil],leerling {de} [school],noun,
(sexual) intercourse,geslachtsgemeenschap {de},noun,
(sexual) orientation,geaardheid {de} [seksuele voorkeur],noun,
(shop) counter,toonbank {de},noun,
(Siberian) meadow bunting,weidegors {de} [Emberiza cioides],noun,[orn.] [T] 
(slender) blue-winged grasshopper,kiezelsprinkhaan {de} [Sphingonotus caerulans],noun,[entom.] [T] 
(small) garden bumblebee,tuinhommel {de} [Bombus hortorum],noun,[entom.] [T] 
(small) lake,plas {de} [klein meer],noun,
(Southern) African mole-rat,hottentotmolrat {de} [Cryptomys hottentotus],noun,[T] [zool.] 
(spotted) porcupinefish,gestippelde egelvis {de} [Diodon hystrix],noun,[T] [fish] 
(study of) literature,letterkunde {de},noun,
(the) Netherlands {pl},Nederland {het},noun,[geogr.] 
(the) streak [moth],herfstbremspanner {de} [Chesias legatella],noun,[entom.] [T] 
(tin can and) string telephone,bliktelefoon {de},noun,[toys] 
(uterine) cervix,baarmoederhals {de} [Cervix uteri],noun,[anat.] 
(Von) Schrenck's bittern,Mantsjoerijse woudaap {de} [Ixobrychus eurhythmus],noun,[orn.] [T] 
(western) barbastelle [bat],mopsvleermuis {de} [Barbastella barbastellus],noun,[zool.] [T] 
(western) black-handed tamarin,zwarthandtamarin {de} [Saguinus niger],noun,[zool.] [T] 
(western) Bonelli's warbler,bergfluiter {de} [Phylloscopus bonelli],noun,[orn.] [T] 
(western) brush rabbit,californisch konijn {het} [Sylvilagus bachmani],noun,[T] [zool.] 
(western) capercaillie,auerhoen {het} [Tetrao urogallus],noun,[orn.] [T] 
(western) marsh harrier,bruine kiekendief {de} [Circus aeruginosus],noun,[orn.] [T] 
(white) ramping fumitory,rankende duivenkervel {de} [Fumaria capreolata],noun,[bot.] [T] 
(white-tailed) laurel pigeon,laurierduif {de} [Columba junoniae],noun,[T] [orn.] 
(white-winged) snowfinch,sneeuwvink {de} [Montifringilla nivalis],noun,[T] [orn.] 
(work) meeting,werkbespreking {de},noun,[jobs] 
-ish,-achtig,suffix,
-less,-loos,suffix,
"..., isn't it? [is it not?]","..., nietwaar?",,
... aside,afgezien van,,
... in the world,... ter wereld,,
... to let [available for rent],... te huur,,
1st century,1e eeuw {de},noun,
2nd century,2e eeuw {de},noun,
3D printer,3D-printer {de},noun,[ind.] [engin.] [tech.] 
3rd century,3e eeuw {de},noun,
4th century,4e eeuw {de},noun,
5th century,5e eeuw {de},noun,
6th century,6e eeuw {de},noun,
7th century,7e eeuw {de},noun,
8th century,8e eeuw {de},noun,
9th century,9e eeuw {de},noun,
10th century,10e eeuw {de},noun,
11th century,11e eeuw {de},noun,
12th century,12e eeuw {de},noun,
13th century,13e eeuw {de},noun,
14th century,14e eeuw {de},noun,
15th century,15e eeuw {de},noun,
16th century,16e eeuw {de},noun,
17th century,17e eeuw {de},noun,
18th century,18e eeuw {de},noun,
19th century,19e eeuw {de},noun,
20th century,20e eeuw {de},noun,
21st century,21e eeuw {de},noun,
35mm camera,kleinbeeldcamera {de},noun,[photo.] 
35mm film,kleinbeeldfilm {de},noun,[photo.] 
Aachen,Aken {het},noun,[geogr.] 
aardvark,aardvarken {het} [Orycteropus afer],noun,[zool.] [T] 
Aargau,Aargau {het},noun,[geogr.] 
Aarhus,Aarhus {het},noun,[geogr.] 
Aarmassif,Aarmassief {het},noun,[geogr.] 
abandoned,verlaten,adj past-p,
abattoir,abattoir {het},noun,
abattoir,slachthuis {het},noun,
abbatial,abbatiaal,adj,[relig.] 
abbatial church,abdijkerk,noun,[archi.] [relig.] 
abbatial complex,abdijcomplex {het},noun,[archi.] [relig.] 
abbess's cross,abdissenkruis {het},noun,[relig.] 
abbess,abdis {de},noun,[relig.] [jobs] 
abbey,abdij {de},noun,
abbey church,abdijkerk,noun,[archi.] [relig.] 
abbey complex,abdijcomplex {het},noun,[archi.] [relig.] 
abbreviated,afgekort,adj past-p,
abbreviation,afkorting {de},noun,
"ABC islands [Aruba, Bonaire, Curaçao]",ABC-eilanden {mv},noun,[geogr.] 
abdomen,onderbuik {de},noun,[anat.] 
abdominal,abdominaal,adj,[anat.] [biol.] [zool.] 
abdominally,abdominaal,adv,[anat.] [biol.] [zool.] 
abduction,ontvoering {de},noun,
abductions,ontvoeringen {mv},noun,
abelsonite,abelsoniet {het},noun,[mineral.] 
abernathyite,abernathyiet {het},noun,[mineral.] 
aberrant,afdwalend,adj,
aberrant,afwijkend,adj,
aberration,aberratie {de},noun,
abetment,medeplichtigheid {de},noun,
ability,bekwaamheid {de},noun,
ability,vermogen {het},noun,
a bit of a ...,een beetje een ...,,
Abkhazia,Abchazië {het},noun,[geogr.] 
ablactation,ablactatie {de},noun,[biol.] [VetMed.] [med.] 
ablative (case),ablatief {de},noun,[ling.] 
A Blessed Christmas and a Happy New Year!,Zalig kerstfeest en een gelukkig nieuwjaar!,,
ablutophobia,ablutofobie {de},noun,[psych.] 
abnormal,abnormaal,adj,
abnormality,abnormaliteit {de},noun,
abnormality,afwijking {de},noun,
aboard,aan boord,adv prep,
abolition,afschaffing {de},noun,
abolitionism,abolitionisme {het},noun,[hist.] 
abominable,abominabel,adj,
abominable,afschuwelijk,adj,
abominable,misselijk,adj,
abominable,walgelijk,adj,
abominable,weerzinwekkend,adj,
abortion,abortus {de},noun,[med.] 
abortion doctor,abortusarts {de},noun,[med.] 
abortion forceps {pl} [one pair],abortustang {de},noun,[MedTech.] [med.] 
abortionist,abortusarts {de},noun,[med.] 
about,omstreeks,adv,
about,omtrent,adv prep,
about,over,prep,
about [approximately],ongeveer,adv,
above all,bovenal,adv,
above,boven,adv prep,
Abovyan,Abovyan {het},noun,[geogr.] 
abrasion,abrasie {de},noun,[spec.] 
abrasion,slijtage {de},noun,
abroad,in het buitenland,adv,
abrupt,abrupt,adj,
abrupt,bruusk,adj,
abruptly,plotseling,adv,
abrupt,plotseling,adj,
abscess,abces {het},noun,[med.] 
absence,absentie {de},noun,
absence,afwezigheid {de},noun,
absence,gemis {het},noun,
absent-minded,afwezig,adj,
absent,afwezig,adj,
absenteeism,absenteïsme {het},noun,
absenteeism,arbeidsverzuim {het},noun,
absolute geometry,absolute meetkunde {de},noun,[math.] 
absolutely,absoluut,adv,
absolute ruler,alleenheerser {de},noun,[hist.] [pol.] 
absolutism,absolutisme {het},noun,[hist.] [pol.] 
absolutist,absolutist {de},noun,[hist.] [pol.] 
absorbent cotton,watje {het},noun,
abstinence,abstinentie {de},noun,
abstract algebra,abstracte algebra {de},noun,[math.] 
abstraction,abstractie {de},noun,[dent.] 
absurd,absurd,adj,
absurd,belachelijk,adj,
absurd,bespottelijk,adj,
absurdity,absurditeit {de},noun,
absurdly,belachelijk,adv,
abs [coll.] [abdominal muscles],buikspieren {mv},noun,[anat.] 
Abu Dhabi,Aboe Dhabi {het},noun,[geogr.] 
Abu Dhabi,Abu Dhabi {het},noun,[geogr.] 
Abuja,Abuja {het},noun,[geogr.] 
abundance,overvloed {de},noun,
abundant,overvloedig,adj,
abuse,abusus {de},noun,[med.] 
abuse of drugs,drugmisbruik {het},noun,[drugs] 
abuse [misuse],misbruik {het},noun,
abusive,beledigend,adj,
abyss,afgrond {de},noun,
Abyssinian fawn-colored lark,"vosleeuwerik {de} [Calendulauda alopex, syn.: Mirafra alopex]",noun,[orn.] [T] 
Abyssinian lark,"vosleeuwerik {de} [Calendulauda alopex, syn.: Mirafra alopex]",noun,[orn.] [T] 
academic,academisch,adj,
academic fencing,mensuur {de},noun,[sports] 
academy,academie {de},noun,[educ.] 
Acapulco,Acapulco {het},noun,[geogr.] 
acarology,acarologie {de},noun,[acad.] [zool.] 
acathisia,acathisie {de},noun,[med.] 
acceleration,acceleratie {de},noun,
acceleration,versnelling {de},noun,
accelerator,gaspedaal {de} {het},noun,
accent,accent {het},noun,
acceptable,aanneembaar,adj,
acceptable,aannemelijk,adj,
acceptable,aanvaardbaar,adj,
acceptable,acceptabel,adj,
acceptable,geoorloofd,adj,
acceptance,aanvaarding {de},noun,
acceptance bank,accepthuis {het},noun,[fin.] 
acceptance house,accepthuis {het},noun,[fin.] 
accepted bill,geaccepteerde wissel {de},noun,[fin.] 
accepted,geaccepteerd,adj past-p,
accessible,toegankelijk,adj,
accession country,toetredingsland {het},noun,[pol.] 
access,oprit {de},noun,
accessory [helper in a crime],medeplichtige {de},noun,
accessory [helping in a crime],medeplichtig,adj,
access,toegang {de},noun,
accidentally,per ongeluk,adv,
accidentally,toevallig,adv,
accidental,toevallig,adj,
accident at work,arbeidsongeval {het},noun,
accident hazard,ongevalrisico {het} {de},noun,
accident insurance,ongevallenverzekering {de},noun,
accident,ongeluk {het},noun,
accident,ongeval {het},noun,
accident risk,ongevalrisico {het} {de},noun,
accidents,ongevallen {mv},noun,
accident [chance],toeval {het},noun,
accommodation,onderdak {het},noun,
accommodative dysfunction,accommodatiestoornis {de},noun,[med.] 
accompanying,bijbehorend,adj,
accomplice,medeplichtige {de},noun,
accomplishments,prestaties {mv},noun,
accordance,overeenstemming {de},noun,
accordingly,overeenkomstig,adv,
according to,blijkens,adv,
according to,volgens,prep,
accordion,accordeon {de},noun,[mus.] 
accordionist,accordeonist {de},noun,[mus.] 
accordionist,harmonikaspeler {de},noun,[mus.] 
accountable,verantwoordelijk,adj,
accountant,accountant {de},noun,
accountant,boekhouder {de},noun,
account,conto {het},noun,[fin.] 
account,rekening {de},noun,
accounts,rekeningen {mv},noun,
account,verslag {het},noun,
Accra,Accra {het},noun,[geogr.] 
accretion disc,accretieschijf {de},noun,[astron.] 
accretion disk [Am.],accretieschijf {de},noun,[astron.] 
accuracy,exactheid {de},noun,
accuracy,nauwkeurigheid {de},noun,
accurately,accuraat,adv,
accurately [precisely],precies,adv,
accurate,nauwkeurig,adj,
accurate,stipt,adj,
accurate,trefzeker,adj,
accurate [precise],precies,adj,
accusation,aanklacht {de},noun,
accusation,beschuldiging {de},noun,
accusations,beschuldigingen {mv},noun,
"accusative (case) <acc., ACC>",accusatief {de} <acc.>,noun,[ling.] 
accuser,aanklager {de},noun,
accustomed,gewend,adj past-p,
Aceh War,Atjehoorlog {de},noun,[hist.] [pol.] 
acetic acid,azijnzuur {het} [CH3COOH],noun,[chem.] 
acetylcysteine <ACC>,acetylcysteïne {de} <ACC>,noun,[pharm.] [chem.] 
acetylsalicylic acid <ASA>,acetylsalicylzuur {het} <ASZ> [C9H8O4],noun,[chem.] [med.] 
ace [card game],aas {de} {het} [kaartspel],noun,[games] 
achalasia,achalasie {de},noun,[med.] 
ache,pijn {de},noun,
Acheulean,Acheuléen {het},noun,[archaeo.] 
achievable,bereikbaar,adj,
achievement,prestatie {de},noun,
achievements,prestaties {mv},noun,
achievement,verworvenheid {de},noun,
Achilles tendon reflex,achillespeesreflex {de},noun,[med.] 
achondroplasia,achondroplasie {de},noun,[med.] 
Achterhoek,"Achterhoek {de} [benaming voor het oosten van Gelderland, het oude graafschap Zutphen]",noun,[geogr.] 
aciclovir,aciclovir {de},noun,[med.] 
acid attack,zuuraanval {de},noun,
acid content,zuurgehalte {het},noun,
acid drop [Br.],zuurtje {het},noun,
acidity,aciditeit {de},noun,[oenol.] 
acidosis,acidose {de},noun,[med.] 
acid rain,zure regen {de},noun,[ecol.] 
acid,zuur {het},noun,[chem.] 
acknowledgement,dankbetuiging {de},noun,
acknowledgement,dankzegging {de},noun,
acknowledgement,erkenning {de},noun,
acne,acne {de},noun,[med.] 
Aconcagua,Aconcagua {de},noun,[geogr.] 
acorn,eikel {de},noun,[bot.] 
acorns,eikels {mv},noun,[bot.] 
acorn woodpecker,eikelspecht {de} [Melanerpes formicivorus],noun,[T] [orn.] 
a couple of,een paar,,
acoustic,akoestisch,adj,
acoustic guitar,akoestische gitaar {de},noun,[mus.] 
acoustic level [of noise],geluidsniveau {het},noun,[audio] 
acoustics,akoestiek {de},noun,
acquaintance,bekende {de},noun,
acquaintance,kennismaking {de},noun,
acquaintance,kennis {de} [bekende],noun,
acquaintances,bekenden {mv},noun,
acquired rights {pl},verworven rechten {mv},noun,[law] 
acquirement,verworvenheid {de},noun,
acquisition,acquisitie {de},noun,
acquisition,afname {de},noun,
acquisition [asset or object],aanwinst {de},noun,
acrobatic,acrobatisch,adj,
acrocyanosis,acrocyanose {de},noun,[med.] 
acromegaly,acromegalie {de},noun,[med.] 
acronym,acroniem {het},noun,[ling.] 
acrophobia,acrofobie {de},noun,[psych.] 
acrophobia,hoogtevrees {de},noun,[psych.] 
across,over,prep,
across,tegenover,adv,
acrylic paint,acrylverf {de},noun,
act,bedrijf {het},noun,[theatre] 
act,daad {de},noun,
actin,actine {de},noun,[biochem.] 
actinium <Ac>,actinium {het} <Ac>,noun,[chem.] 
action,actie {de},noun,
action day,actiedag {de},noun,
action figure,actiefiguur {de} {het},noun,[toys] 
action film,actiefilm {de},noun,[film] 
action flick [coll.],actiefilm {de},noun,[film] 
action,handeling {de},noun,
action movie [esp. Am.],actiefilm {de},noun,[film] 
action plan,actieplan {het},noun,
action potential <AP>,actiepotentiaal {de},noun,[biol.] 
activatable,activeerbaar,adj,
active,actief,adj,
active waste [coll.],atoomafval {het},noun,[ecol.] [nucl.] 
activities,activiteiten {mv},noun,
activities report,activiteitenverslag {het},noun,
