RU,EN,type,misc
(медвяная) падь {ж},honeydew [secretion],noun,[entom.] 
(мелкий) вор {м},pilferer,noun,
(мужской) монастырь {м},monastery,noun,[relig.] 
(мусорная) свалка {ж},(garbage) dump [esp. Am.],noun,
(мясная) нарезка {ж},cold cuts {pl},noun,[gastr.] 
(мясной) фарш {м},mincemeat [minced meat],noun,[gastr.] 
(нагрудный) значок {м},badge,noun,
(надгробный) памятник {м},tombstone [standing],noun,
(наружные) половые органы {мн},genitalia {pl},noun,[anat.] 
(небольшие) бакенбарды {мн} [бачки],mutton chops,noun,
(не в меру) любопытный,nosy [coll.],adj,
(нездорово) бледный,"pasty [skin, complexion]",adj,
(неожиданная) встреча {ж},encounter [meeting],noun,
(непрерывно) следующий друг за другом,consecutive,adj,
(обменный) курс {м},exchange rate,noun,[curr.] 
(обыкновенная) шилохвость {ж} [Anas acuta],(northern) pintail,noun,[orn.] [T] 
(обыкновенный) перепел {м} [Coturnix coturnix],(common) quail,noun,[orn.] [T] 
(обыкновенный) фазан {м} [Phasianus colchicus],(common) pheasant,noun,[orn.] [T] 
(обыкновенный) щур {м} [Pinicola enucleator],pine grosbeak,noun,[T] [orn.] 
(особое) значение {с} [подчёркивание какой-л мысли],emphasis,noun,
(остроконечная) вершина {ж},peak,noun,
(официальное) опровержение {с},démenti,noun,
(очень) худой [о человеке],skinny [of a person],adj,
(письменное) уведомление {с},notice [official letter],noun,
(плавкий) предохранитель {м},fuse,noun,[electr.] 
(повседневная) работа {ж} по дому,chores {pl},noun,
(погружной) блендер {м},immersion blender,noun,[gastr.] [tools] 
(подъёмный) кран {м},crane,noun,[tech.] 
"(послеполуденный) чай {м} [с бутербродами, пирожными и т.п.]",afternoon tea [esp. Br.],noun,
(постоянный) посетитель {м},patron [customer],noun,
(приходящая) домработница {ж},daily (help) [woman] [Br.] [dated],noun,
(причинная) связь {ж},context,noun,
(простое) число {с} Софи Жермен,Sophie Germain prime,noun,[math.] 
(профессиональное) обучение {с},apprenticeship,noun,
(рабочая) смена {ж},shift [at work],noun,
(рабочий) кабинет {м},study [room],noun,
(расчётный) счёт {м},account [in bank],noun,[fin.] 
(резко) подскочить [о ценах и т. п.] [сов.],to leap [price],verb,
(рождественский) сочельник {м},Christmas Eve,noun,[relig.] 
(русские) блины {мн},blini {pl} [Russian pancakes],noun,[gastr.] 
(сами) себя,themselves [direct / indirect object],pron,
(святая) троица {ж},Trinity,noun,[relig.] 
(святые) мощи {мн},relic {sg} [of a saint's body],noun,[relig.] 
(сексуально) извращённый,kinky [sexually] [coll.],adj,
(сельскохозяйственная) культура {ж},crop [produce grown],noun,[agr.] 
(сибирская) кабарга {ж} [Moschus moschiferus],Siberian musk deer,noun,[T] [zool.] 
(сильно) бояться [несов.],to dread,verb,
(сильное) желание {с},urge,noun,
(скоростная) автомагистраль {ж},freeway [Am.],noun,[traffic] 
(случайно) встретиться [сов.],to come across [meet by chance],verb,
(снежный) барс {м},snow leopard,noun,[zool.] [T] 
(сосновый) бор {ж},pinery,noun,[for.] 
(спиритический) сеанс {м},seance,noun,[esot.] 
(страстно) желать [несов.],to desire,verb,
(страстное) желание {с},desire,noun,
(строительные) кубики {мн} [для детей],(building) bricks,noun,
(телефонный) звонок {м},phone call,noun,
(товарная) позиция {ж},item [part in an enumeration],noun,[comm.] 
(торговая) палатка {ж},stall,noun,[comm.] 
(торговый) автомат {м},vending machine,noun,[tech.] 
(точно) так же,equally,adv,
(туалетный) ёршик {м},toilet brush,noun,
(ударная) вязкость {ж},toughness,noun,[tech.] 
(удобная) возможность {ж},opportunity,noun,
(удобный) случай {м},occasion,noun,
(умывальная) раковина {ж},washbasin [esp. Br.],noun,
(усатая) акула-нянька {ж} [Ginglymostoma cirratum],nurse shark,noun,[fish] [T] 
(устный) переводчик {м},interpreter [between languages],noun,[jobs] 
(учебная) практика {ж},internship [Br.],noun,
(феодальное) поместье {с},manor (house) [Br.],noun,[hist.] 
(хирургические) щипцы {мн},forceps,noun,[med.] [MedTech.] 
(хлебная) закваска {ж},sour dough,noun,[gastr.] 
(хлебная) закваска {ж},sourdough,noun,[gastr.] 
(хорошая) осведомлённость {ж},familiarity [knowledge],noun,
(честолюбивые) притязания {мн} [запросы],ambitions,noun,
(чёрный) американский стриж {м} [Cypseloides niger],(American) black swift,noun,[T] [orn.] 
(широко) распространённый,common [widespread],adj,
(школьное) сочинение {с},essay,noun,[lit.] [educ.] 
(штепсельная) розетка {ж},(electrical) outlet [Am.],noun,[electr.] 
(штыковая) лопата {ж},spade [tool],noun,[tech.] 
(шумная) ссора {ж},brawl,noun,
(электрическая) лампочка {ж},(light) bulb,noun,[electr.] 
(эффективно) использовать что-л. [сов.] [несов.],to utilize sth.,verb,
(ювелирные) украшения {мн},jewellery {sg} [Br.],noun,
(юридическая) ответственность {ж},liability,noun,[law] 
007: Координаты «Скайфолл» [Сэм Мендес],Skyfall [Sam Mendes],,[F] [film] 
30 пенсов килограмм,30p a kilo,,
apiarian,пчеловодный,adj,
aртротомия {ж},arthrotomy,noun,[med.] 
aутоиммунное заболевание {ж},autoimmune disease,noun,[med.] 
bелохвостый олень {м} [Odocoileus virginianus],white-tailed deer,noun,[zool.] [T] 
Bо сколько? [В котором часу?],At what time?,,
c [+instr.],with <w/>,prep,
cеверная качурка {ж} [Oceanodroma leucorhoa],Leach's (storm) petrel,noun,[orn.] [T] 
cерощёкая поганка {ж} [Podiceps grisegena],red-necked grebe,noun,[orn.] [T] 
cерый буревестник {м} [Puffinus griseus],sooty shearwater,noun,[orn.] [T] 
cредиземноморский буревестник {м} [Calonectris diomedea],Cory's shearwater,noun,[orn.] [T] 
Eму пришлось тяжело.,He has had a hard time of it.,,
kапский чирок {м} [Anas capensis],Cape teal,noun,[orn.] [T] 
Mне надоели твои жалобы.,I'm fed up with your complaints. [coll.],verb,
oговорка {ж} по Фрейду,Freudian slip,noun,[psych.] 
"[бисквит, пропитанный вином и залитый взбитыми сливками]",trifle [Br.] [sweet dish],noun,[gastr.] 
"[большое, некрасивое здание]",barn [fig.],noun,
"[жир, капающий с мяса во время жаренья]",dripping,noun,[gastr.] 
[и] всё же,yet,conj,
"[консультации, практические занятия в университете, проводящиеся преподавателем-наставником в мини-группах]",tutorials [Br.],noun,[educ.] 
[мы] можем,[we] can,,
"[нарушение суточного ритма организма, расстройство биоритмов в связи с перелетом через несколько часовых поясов]",jet lag,noun,
"[неопределённый артикль перед гласными и перед немым h, как правило, не переводится]",an,,
"[неопределённый артикль перед согласными, перед eu и перед u, когда u произносится как [juː], как правило, не переводится]",a,,
[нотное издание на отдельных листах],sheet music {sg},noun,[mus.] 
[обжаренный в сухарях или в тертом сыре],au gratin [postpositive],,[gastr.] 
[обжаренный в сухарях или в тертом сыре],gratiné [postpositive],,[gastr.] 
[они] ушли,[they] went,,
"[основной вид деятельности, которым занята компания]",core business,noun,
[относить в конец предложения дальше обычной позиции для какой-либо единицы],to postpone,verb,[ling.] 
"[плавать с маской, трубкой и ластами]",to snorkel,verb,
"[поиск, локализация и устранение неисправностей или повреждений]",troubleshooting,noun,
"[пойти посмотреть, что что-л. из себя представляет]",to check sth. out [coll.],verb,
[родной брат или сестра],sibling,noun,
"[совместная эксплуатация автомобиля группой попутчиков, как правило, для ежедневых поездок]",car pool,noun,
"[съедобные моллюски и ракообразные; омары, устрицы, креветки и т.п.]",shellfish {pl},noun,[gastr.] 
[тебе] нельзя,[you] must not,,
[торговая марка консервированного мяса],SPAM ®,noun,[gastr.] 
[форма совместного съёма жилья несколькими независимыми людьми],flat-sharing community [Br.],noun,
"[человек, который ездит на работу из пригорода в город на общественном транспорте]",commuter,noun,[traffic] 
"[человек, портящий другим удовольствие]",spoilsport,noun,
"[человек, страдающий агорафобией]",agoraphobe,noun,[psych.] 
"«сделай сам» [ремонт, изготовление чего-л.]",do it yourself <DIY>,noun,
Абант {м},Abas,noun,[myth.] 
Аббасидский халифат {м},Abbasid Caliphate,noun,[hist.] 
Абердин {м},Aberdeen,noun,[geogr.] 
Абиссиния {ж},Abyssinia,noun,[geogr.] 
Абхазия {ж},Abkhazia,noun,[geogr.] 
Авга {ж},Auge,noun,[myth.] 
Авгий {м},Augeas,noun,[myth.] 
Авель {м},Abel,noun,[bibl.] 
Авраам {м},Abraham,noun,[bibl.] [name] 
Аврора {ж},Aurora,noun,[myth.] 
Австралазия {ж},Australasia,noun,[geogr.] 
Австралия {ж},Australia,noun,[geogr.] 
Австрия {ж},Austria,noun,[geogr.] 
Автолик {м},Autolycus,noun,[myth.] 
Автостопом по галактике [Дуглас Адамс],The Hitchhiker's Guide to the Galaxy [Douglas Adams],,[F] [lit.] 
Агава {ж},Agave,noun,[myth.] 
Агамед {м},Agamedes,noun,[myth.] 
Агамеда {ж},Agamede,noun,[myth.] 
Агамемнон {м},Agamemnon,noun,[myth.] 
Агапенор {м},Agapenor,noun,[myth.] 
Агенор {м},Agenor,noun,[myth.] 
Аделаида {ж},Adelaide,noun,[geogr.] 
Адмет {м},Admetus,noun,[myth.] 
Адонис {м},Adonis,noun,[myth.] 
Адраст {м},Adrastus,noun,[myth.] 
Адрастея {ж},Adrasteia,noun,[myth.] 
Адриатическое море {с},Adriatic Sea,noun,[geogr.] 
Азербайджан {м},Azerbaijan,noun,[geogr.] 
Азия {ж},Asia,noun,[geogr.] 
Азов {м},Azov [Russian city],noun,[geogr.] 
Азовское море {с},Sea of Azov,noun,[geogr.] 
Азорские острова {мн},Azores,noun,[geogr.] 
Аид {м},Hades,noun,[myth.] 
Ай!,Ouch!,,
Айфель {м} [северо-западная часть Рейнских Сланцевых гор],Eifel,noun,[geogr.] 
А какое Вам дело?,What business is it of yours?,,
Акапулько {м} [нескл.] [город],Acapulco,noun,[geogr.] 
Акаст {м},Acastus,noun,[myth.] 
Акрисий {м},Acrisius,noun,[myth.] 
Актор {м},Actor,noun,[myth.] 
Аландские острова {мн},Åland Islands <.ax>,noun,[geogr.] 
Аланья {ж} [Турция] [раньше Алайя],Alanya [formerly Alaiye],noun,[geogr.] 
Албания {ж},Albania,noun,[geogr.] 
Александр {м},Alexander,noun,[name] 
Александрия {ж},Alexandria,noun,[geogr.] 
Алеутские острова {мн},Aleutian Islands,noun,[geogr.] 
Алжир {м} [город],Algiers,noun,[geogr.] 
Алжир {м} [государство],Algeria,noun,[geogr.] 
Алис-Спрингс {м},Alice Springs,noun,[geogr.] 
Алкимеда {ж},Alcimede,noun,[myth.] 
Алкмена {ж},Alcmena,noun,[myth.] 
Алкмена {ж},Alcmene,noun,[myth.] 
Аллах {м},Allah,noun,[relig.] 
Алло!,Hello! [on telephone],,
Алопа {ж},Alope,noun,[myth.] 
Алтай {м},Altai,noun,[geogr.] 
Алтай {м},Altay,noun,[geogr.] 
Алтайские горы {мн},Altai Mountains,noun,[geogr.] 
Алфея {ж},Althaea,noun,[myth.] 
Альбукерке {м} [нескл.],Albuquerque,noun,[geogr.] 
Альпийский Рейн {м},Alpine Rhine,noun,[geogr.] 
Альпы {мн},the Alps,noun,[geogr.] 
Аляска {ж},Alaska <AK> [The Last Frontier State],noun,[geogr.] 
Аляскинский залив {м},Gulf of Alaska,noun,[geogr.] 
Амазонка {ж},River Amazon [Br. usage],noun,[geogr.] 
Америка {ж},America,noun,[geogr.] 
Американская трагедия [Теодор Драйзер],An American Tragedy [Theodore Dreiser],,[F] [lit.] 
Аминтор {м},Amyntor,noun,[myth.] 
Амстердам {м},Amsterdam,noun,[geogr.] 
Амур {м},Amor,noun,[myth.] 
Амфиарай {м},Amphiaraos,noun,[myth.] 
Амфиарай {м},Amphiaraus,noun,[myth.] 
Амфион {м},Amphion,noun,[myth.] 
Амфитрион {м},Amphitryon,noun,[myth.] 
Амфитрита {ж},Amphitrite,noun,[myth.] 
Анахайм {м},Anaheim,noun,[geogr.] 
Англия {ж},England,noun,[geogr.] 
Ангола {ж},Angola,noun,[geogr.] 
Андалузия {ж},Andalusia,noun,[geogr.] 
Андалусия {ж},Andalusia,noun,[geogr.] 
Андаманские острова {мн},Andaman Islands,noun,[geogr.] 
Андаманские острова {мн},Andamans,noun,[geogr.] 
Андаманское море {с},Andaman Sea,noun,[geogr.] 
Андорра {ж},Andorra,noun,[geogr.] 
Андрогей {м},Androgeos,noun,[myth.] 
Андрогей {м},Androgeus,noun,[myth.] 
Андромаха {ж},Andromache,noun,[myth.] 
Андромеда {ж},Andromeda,noun,[astron.] [myth.] 
Анкара {ж},Ankara,noun,[geogr.] 
Анкей {м},Ancaeus,noun,[myth.] 
Анна {ж},Anne,noun,[name] 
Анна Каренина [Лев Николаевич Толстой],Anna Karenina [Leo Tolstoy],,[F] [lit.] 
Анталья {ж},Antalya,noun,[geogr.] 
Антарктида {ж},Antarctica,noun,[geogr.] 
Антарктика {ж},Antarctic,noun,[geogr.] 
Антарктический океан {м},Antarctic Ocean,noun,[geogr.] 
Антей {м},Antaeus,noun,[myth.] 
Антигона {ж},Antigone,noun,[myth.] 
Антиной {м},Antinous,noun,[myth.] 
Антиопа {ж},Antiope,noun,[myth.] 
Антон {м},Anthony,noun,[name] 
Анхис {м},Anchises,noun,[myth.] 
Апеннины {мн},Apennines,noun,[geogr.] 
Апис {м},Apis,noun,[myth.] 
Апокалипсис {м},the Apocalypse,noun,[bibl.] [relig.] 
Аполлон {м},Apollo,noun,[myth.] [relig.] 
Апсирт {м},Absyrtus,noun,[myth.] 
Аравийское море {с},Arabian Sea,noun,[geogr.] 
Аравия {ж},Arabia,noun,[geogr.] 
Аральское море {с},Aral Sea,noun,[geogr.] 
Арафурское море {с},Arafura Sea,noun,[geogr.] 
Арахна {ж},Arachne,noun,[myth.] 
Арахнея {ж},Arachne,noun,[myth.] 
Аргентина {ж},Argentina,noun,[geogr.] 
Арго {м},Argo,noun,[myth.] 
Аргус {м},Argus,noun,[myth.] 
Арденны {мн},Ardennes,noun,[geogr.] 
Арес {м},Ares,noun,[myth.] 
Ариадна {ж},Ariadne,noun,[myth.] 
Аризона {ж} [штат США],Arizona <AZ> [Grand Canyon State],noun,[geogr.] 
Аристей {м},Aristaeus,noun,[myth.] 
Аристотель {м},Aristotle,noun,[philos.] 
Аристофан {м},Aristophanes,noun,[hist.] [lit.] [theatre] 
Аркад {м},Arcas,noun,[myth.] 
Арканзас {м} [штат США],Arkansas <AR> [The Natural State],noun,[geogr.] 
Аркас {м} [Аркад],Arcas,noun,[myth.] 
Арктика {ж},Arctic,noun,[geogr.] 
Армагеддон {м},Armageddon,noun,[bibl.] 
Армения {ж},Armenia,noun,[geogr.] 
Артемида {ж},Artemis,noun,[myth.] [relig.] 
Аруба {ж},Aruba <.aw>,noun,[geogr.] 
Асбест {м},Asbest [city in Russia],noun,[geogr.] 
Аскалаф {м},Ascalaphus,noun,[myth.] 
Асклепий {м},Asclepius,noun,[myth.] 
Ассирия {ж},Assyria,noun,[geogr.] [hist.] 
Астарта {ж},Astarte,noun,[myth.] 
Астерикс и Клеопатра,Asterix and Cleopatra,,[F] [comics] [film] 
Астерикс на Олимпийских играх,Asterix at the Olympic Games,,[F] [lit.] [film] 
Астерион {м},Asterion,noun,[myth.] 
Астрей {м},Astraeus,noun,[myth.] 
Ата {ж},Ate,noun,[myth.] 
Аталанта {ж},Atalanta,noun,[myth.] 
Атамант {м},Athamas,noun,[myth.] 
Атамас {м},Athamas,noun,[myth.] 
Атлант {м},Atlas,noun,[myth.] 
Атлантида {ж},Atlantis,noun,[myth.] 
Атлантический океан {м},Atlantic Ocean,noun,[geogr.] 
Атрей {м},Atreus,noun,[myth.] 
Атропос {ж},Atropos,noun,[myth.] 
Аттика {ж},Attica,noun,[geogr.] 
Аттис {м},Attis,noun,[hist.] [myth.] [relig.] 
Афамант {м},Athamas,noun,[myth.] 
Афарская котловина {ж},Afar Depression,noun,[geogr.] 
Афганистан {м},Afghanistan,noun,[geogr.] 
Афина {ж},Athena,noun,[myth.] [relig.] 
Афины {мн},Athens,noun,[geogr.] 
Африка {ж},Africa,noun,[geogr.] 
Афродита {ж},Aphrodite,noun,[myth.] [relig.] 
Ахей {м},Achaeus,noun,[myth.] 
Ахелой {м},Achelous,noun,[myth.] 
Ахен {м},Aachen,noun,[geogr.] 
Ахен {м},Aix-la-Chapelle,noun,[geogr.] 
Ахилл {м},Achilles,noun,[myth.] 
Ахиллес {м},Achilles,noun,[myth.] 
"А хули, почему бы и нет? [груб.] [неценз.]",Why the fuck not? [vulg.],,[offensive] 
Ашаффенбург {м},Aschaffenburg,noun,[geogr.] 
Аэдона {ж},Aëdon,noun,[myth.] 
Бавария {ж},Bavaria,noun,[geogr.] 
Баварский лес {м},Bavarian Forest,noun,[geogr.] 
Багамы {мн} <.bs>,Bahamas {pl},noun,[geogr.] 
Багдад {м},Bagdad [spv.],noun,[geogr.] 
Багдад {м},Baghdad,noun,[geogr.] 
Базель {м},Basel,noun,[geogr.] 
Базиликата {ж},Basilicata,noun,[geogr.] 
Байкал {м},Baikal,noun,[geogr.] [UWH] 
Байконур {м},Baikonur,noun,[geogr.] [astronau] 
Бакингемшир {м},Buckinghamshire,noun,[geogr.] 
Бактрия {ж},Bactria,noun,[geogr.] [hist.] 
Балеарские острова {мн},Balearic Islands,noun,[geogr.] 
Балийское море {с},Bali Sea,noun,[geogr.] 
Балканский полуостров {м},Balkan Peninsula,noun,[geogr.] 
Балканы {мн},(the) Balkans,noun,[geogr.] 
Балтийское море {с},Baltic Sea,noun,[geogr.] 
Балтимор {м},Baltimore,noun,[geogr.] 
Бамако {м} [нескл.] [столица Мали],Bamako [capital of Mali],noun,[geogr.] 
Банат {м},Banat,noun,[geogr.] 
Бангкок {м},Bangkok,noun,[geogr.] 
Бангладеш {м},Bangladesh,noun,[geogr.] 
Барбадос {м},Barbados <.bb>,noun,[geogr.] 
Баренцево море {с},Barents Sea,noun,[geogr.] 
Барселона {ж},Barcelona,noun,[geogr.] 
Бархатные коготки [Сара Уотерс],Tipping the Velvet [Sarah Waters],,[F] [lit.] 
Баскония {ж},Basque country,noun,[geogr.] 
Баскония {ж},Basque region,noun,[geogr.] 
Баффинова Земля {ж},Baffin Island,noun,[geogr.] 
Бахрейн {м},Bahrain <.bh>,noun,[geogr.] 
Башкирия {ж},Bashkiria,noun,[geogr.] 
Башкортостан {м},Bashkortostan,noun,[geogr.] 
Беатриса {ж},Beatrice,noun,[name] 
Бедные люди [Фёдор Достоевский],Poor Folk [Fyodor Dostoevsky],,[F] [lit.] 
Безансон {м},Besançon,noun,[geogr.] 
"Безусловно, ...","There is no doubt that, ...",,
Безусловно.,Certainly.,,
Бейрут {м},Beirut,noun,[geogr.] 
Бел {м},Belus,noun,[myth.] 
Беларусь {ж},Belarus,noun,[geogr.] 
Белград {м},Belgrade,noun,[geogr.] 
Белиз {м},Belize,noun,[geogr.] 
Беллерофонт {м},Bellerophon,noun,[myth.] 
Беллерофонт {м},Bellerophontes [Bellerophon],noun,[myth.] 
Белое море {с},White Sea,noun,[geogr.] 
Белоруссия {ж},Belarus <.by>,noun,[geogr.] 
Белфаст {м},Belfast,noun,[geogr.] 
Белый дом {м} [резиденция президента США],White House [USA],noun,[pol.] 
Бельгия {ж},Belgium,noun,[geogr.] 
Бенгальский залив {м},Bay of Bengal,noun,[geogr.] 
"Бенилюкс {м} [Бельгия, Нидерланды и Люксембург]","Benelux [Belgium, the Netherlands, and Luxembourg]",noun,[geogr.] [pol.] 
Бенин {м},Benin <.bj>,noun,[geogr.] 
Бергамо {м} [нескл.],Bergamo,noun,[geogr.] 
Берингово море {с},Bering Sea,noun,[geogr.] 
"Берите, не стесняйтесь! [за столом]",Please help yourself!,,
Берлин {м},Berlin,noun,[geogr.] 
Берлинская стена {ж},the (Berlin) Wall,noun,[hist.] 
Берн {м},Bern,noun,[geogr.] 
Бессарабия {ж},Bessarabia,noun,[geogr.] [hist.] 
Библия {ж},Bible,noun,[relig.] 
Бирма {ж} [Мьянма],Burma [Myanmar],noun,[geogr.] 
Бирмингем {м},Birmingham,noun,[geogr.] 
Бишкек {м},Bishkek [capital of Kyrgyzstan],noun,[geogr.] 
Благовещение {с} (Пресвятой Богородицы),Annunciation,noun,[relig.] 
Благовещение {с} (Пресвятой Богородицы),Lady Day [esp. Br.],noun,[relig.] 
Ближний Восток {м},Near East,noun,[geogr.] [pol.] 
Близнецы {мн} [созвездие и знак зодиака],Gemini,noun,[astron.] 
Блин! [разг.] [эвф.] [при выражении раздражения],Shoot! [Am.] [coll.] [euphemism for 'shit'],,
Бог {м},God,noun,[relig.] 
Богемия {ж},Bohemia,noun,[geogr.] 
Бог не оставит нас.,God will not forsake us.,,[relig.] 
Богоявление {с},Epiphany,noun,[relig.] 
Боже мой!,Good God!,,
Боже упаси! [разг.],God forbid!,,
"Бойцовский клуб [роман: Чак Паланик, фильм: Дэвид Финчер]","Fight Club [novel: Chuck Palahniuk, film: David Fincher]",,[F] [lit.] [film] 
Болгария {ж},Bulgaria,noun,[geogr.] 
Боливия {ж},Bolivia,noun,[geogr.] 
Большая Медведица {ж},the Great Bear,noun,[astron.] 
Большая четвёрка [Агата Кристи],The Big Four [Agatha Christie],,[F] [lit.] 
"Большие надежды [роман: Чарльз Диккенс, фильм: Альфонсо Куарон]","Great Expectations [novel: Charles Dickens, film: Alfonso Cuarón]",,[F] [lit.] 
Большое Невольничье озеро {с},Great Slave Lake [Canada],noun,[geogr.] 
Большое спасибо!,Thank you very much!,,
Большой Австралийский залив {м},Great Australian Bight,noun,[geogr.] 
Большой Барьерный риф {м},Great Barrier Reef,noun,[geogr.] 
Большой Водораздельный хребет {м},Great Dividing Range,noun,[geogr.] 
Большой взрыв,the Big Bang,noun,[astron.] 
Борей {м},Boreas,noun,[myth.] 
Борнмут {м},Bournemouth <B'mouth>,noun,[geogr.] 
Босния {ж},Bosnia,noun,[geogr.] [hist.] 
Босния {ж} и Герцеговина,Bosnia and Herzegovina,noun,[geogr.] 
Бостон {м},Boston,noun,[geogr.] 
Босфор {м},Bosphorus,noun,[geogr.] 
Босфор {м},Bosporus,noun,[geogr.] 
Ботсвана {ж},Botswana <.bw>,noun,[geogr.] 
Бохайский залив {м},Bohai Sea,noun,[geogr.] 
Боцен {м},Bolzano,noun,[geogr.] 
"Боюсь, что...",I'm afraid that...,,
Бразилия {ж},Brazil,noun,[geogr.] 
Брань на вороту не виснет.,Hard words break no bones.,,[proverb] 
Братислава {ж},Bratislava,noun,[geogr.] 
Брауншвейг {м},Brunswick,noun,[geogr.] 
Бремен {м},Bremen,noun,[geogr.] 
Бретань {ж},Brittany,noun,[geogr.] 
Брисбен {м},Brisbane,noun,[geogr.] 
Британская Гвиана {ж} [нынешняя Гайана],British Guiana [now Guyana],noun,[geogr.] [hist.] 
Британская Колумбия {ж} [канадская провинция],British Columbia <BC>,noun,[geogr.] 
Британские Виргинские острова {мн} <БВО>,(British) Virgin Islands <BVI>,noun,[geogr.] 
Британские острова {мн},British Isles,noun,[geogr.] 
Брно {с},Brno,noun,[geogr.] 
Бронкс {м},the Bronx,noun,[geogr.] 
Бротей {м},Broteas,noun,[myth.] 
Бруклин {м},Brooklyn,noun,[geogr.] 
Бруней {м},Brunei <.bn>,noun,[geogr.] 
Брюгге {м} [нескл.],Bruges,noun,[geogr.] 
Брюссель {м},Brussels,noun,[geogr.] 
Брянск {м},Bryansk,noun,[geogr.] 
Будапешт {м},Budapest,noun,[geogr.] 
Будь здоров! [говорится чихнувшему],Bless you! [after sneezing],,
Будь осторожным!,Take care of yourself!,,
Будь паинькой!,Be good!,,
Будьте так добры и ...,Would you be so kind as ...,,
Бургундия {ж},Bourgogne,noun,[geogr.] 
Бургундия {ж},Burgundy,noun,[geogr.] 
Бурятия {ж},Buriatia,noun,[geogr.] 
Бутан {м},Bhutan <.bt>,noun,[geogr.] 
Бухара {ж},Bukhara,noun,[geogr.] 
Бухарест {м},Bucharest,noun,[geogr.] 
Буэнос-Айрес {м},Buenos Aires,noun,[geogr.] 
Бытие определяет сознание.,Being determines consciousness.,,[philos.] 
Вавилонское столпотворение {с},the Tower of Babel,noun,[bibl.] 
Вадуц {м},Vaduz,noun,[geogr.] 
Вайоминг {м},Wyoming <WY> [Equality State],noun,[geogr.] 
